Age,Dependents,Debt_Ratio,Late_Payment
57,0,0.39,No
34,0,0.51,Yes
42,0,0.48,No
34,0,0.24,No
66,0,0.15,No
53,0,0.11,No
50,2,0.31,No
46,1,0.35,No
29,0,0.25,No
57,0,0.08,No
55,3,0.41,No
46,2,0.58,Yes
24,0,0.05,No
48,0,0.09,No
31,0,0.27,Yes
45,0,0.46,Yes
46,0,0.45,No
35,2,0.30,No
33,0,0.30,No
65,0,0.18,No
43,2,0.31,No
51,3,0.49,No
39,0,0.26,No
42,0,0.83,No
82,0,0.05,No
45,2,0.44,Yes
51,1,0.33,No
74,1,0.08,No
79,0,0.01,No
42,1,0.79,No
48,1,0.37,No
76,0,0.27,No
81,1,0.26,No
37,0,0.29,Yes
34,1,0.85,No
50,2,0.22,No
41,2,0.72,Yes
59,2,0.97,Yes
55,0,0.29,Yes
64,0,0.01,No
49,0,0.25,No
61,1,0.43,No
49,0,0.64,Yes
44,2,0.46,Yes
36,0,0.37,No
44,4,0.26,No
63,0,0.41,No
47,2,0.23,No
60,1,0.45,Yes
38,1,0.39,No
43,1,0.21,No
54,0,0.15,No
68,1,0.33,No
68,1,0.02,No
76,0,0.67,No
62,0,0.25,No
40,4,0.12,No
27,0,0.22,No
38,0,0.00,No
68,0,0.00,No
62,1,0.24,No
60,0,0.24,No
41,2,0.48,No
58,1,0.00,No
54,1,0.93,No
47,3,0.07,No
61,0,0.09,No
61,0,0.27,No
42,3,0.00,No
66,1,0.10,No
51,1,0.49,No
58,1,0.49,No
50,0,0.68,No
54,2,0.69,Yes
66,1,0.29,Yes
76,0,0.01,No
74,0,0.35,Yes
49,1,0.40,No
56,0,0.28,No
53,0,0.31,No
33,0,0.16,No
39,2,0.84,No
32,1,0.39,No
43,2,0.35,Yes
68,0,0.21,Yes
55,0,0.34,No
47,3,0.43,No
46,3,0.47,Yes
64,3,0.16,No
55,0,0.02,No
60,1,0.54,No
67,0,0.33,No
63,0,0.81,No
36,1,0.36,Yes
86,0,0.02,No
39,0,0.33,No
48,2,0.21,No
79,0,0.23,No
52,1,0.48,No
47,0,0.09,No
40,4,0.41,No
28,4,0.19,No
42,2,0.58,No
54,0,0.14,No
36,1,0.09,No
55,0,0.27,Yes
62,1,0.10,No
29,0,0.18,No
40,2,0.36,No
32,0,0.01,No
58,0,0.28,No
72,0,0.04,No
49,4,0.36,No
72,2,0.25,No
66,1,0.20,No
47,3,0.52,Yes
31,0,0.74,No
43,0,0.35,No
67,0,0.01,No
42,0,0.41,Yes
31,0,0.49,No
52,1,0.32,No
56,0,0.34,No
52,0,0.00,No
62,0,0.45,No
46,6,0.16,No
55,0,0.19,No
45,1,0.48,Yes
69,0,0.22,No
49,0,0.15,No
31,0,0.33,No
28,0,0.40,No
59,0,0.33,No
53,3,0.40,No
61,0,0.22,No
34,0,0.40,No
61,0,0.17,No
33,0,0.66,No
38,0,0.64,No
34,1,0.49,No
27,2,0.12,No
37,2,0.48,No
46,2,0.21,No
29,0,0.38,No
56,1,0.23,No
32,0,0.20,Yes
33,2,0.33,No
59,0,0.34,No
51,1,0.02,Yes
79,0,0.01,No
55,1,0.26,Yes
39,1,0.31,Yes
29,0,0.50,No
64,2,0.30,No
57,1,0.32,No
75,0,0.35,No
31,0,0.73,No
78,0,0.06,No
45,1,0.42,No
46,3,0.27,No
53,1,0.34,No
53,2,0.25,No
27,0,0.15,No
55,3,0.87,Yes
47,2,0.19,No
44,0,0.05,No
51,1,0.06,No
54,3,0.17,Yes
42,0,0.21,No
80,0,0.00,No
48,1,0.13,No
56,0,0.36,No
22,0,0.00,No
70,0,0.14,No
54,1,0.04,No
46,4,0.17,No
45,0,0.71,No
66,0,0.19,Yes
55,0,0.35,No
86,0,0.00,No
60,0,0.35,No
72,0,0.15,No
64,0,0.36,No
62,0,0.00,No
36,0,0.66,No
63,0,0.24,No
57,3,0.41,No
45,2,0.20,No
61,0,0.05,No
57,2,0.32,No
58,0,0.24,No
36,2,0.38,No
24,0,0.02,No
60,0,0.54,Yes
38,1,0.30,No
67,0,0.23,No
85,0,0.00,No
47,0,0.14,No
34,3,0.23,No
62,0,0.23,No
48,0,0.40,No
54,3,0.01,No
40,0,0.71,No
42,2,0.21,Yes
32,0,0.27,No
62,1,0.25,No
57,0,0.34,No
48,2,0.69,No
57,1,0.00,No
62,0,0.23,No
52,0,0.54,No
41,0,0.29,No
44,3,0.41,No
77,0,0.03,No
41,1,0.39,Yes
66,0,0.22,No
36,2,0.34,No
49,0,0.91,Yes
41,0,0.19,No
31,0,0.26,Yes
67,0,0.37,No
29,0,0.36,No
39,0,0.10,No
58,1,0.45,Yes
58,0,0.20,No
44,4,0.08,No
35,0,0.24,No
39,1,0.02,No
28,2,0.12,No
70,0,0.04,No
43,2,0.33,No
40,0,0.21,No
32,0,0.12,No
82,0,0.00,No
44,1,0.62,Yes
56,0,0.50,No
39,3,0.15,Yes
64,0,0.25,No
48,0,0.36,No
50,3,0.20,Yes
65,0,0.55,No
38,2,0.42,No
73,0,0.32,No
43,1,0.18,Yes
51,0,0.50,No
62,0,0.53,No
38,0,0.43,Yes
46,0,0.11,Yes
46,1,0.00,No
86,0,0.01,No
59,0,0.62,No
60,2,0.47,No
63,0,0.32,No
43,0,0.16,No
42,0,0.14,No
29,0,0.10,No
70,0,0.41,No
37,0,0.15,No
32,0,0.12,No
69,0,0.29,Yes
73,0,0.17,No
27,1,0.01,No
53,0,0.70,No
42,3,0.44,No
39,2,0.40,No
68,0,0.29,No
47,3,0.09,No
44,2,0.64,No
46,4,0.11,No
62,0,0.07,No
52,1,0.35,Yes
44,2,0.44,No
52,1,0.31,No
40,1,0.47,No
33,0,0.17,Yes
41,1,0.33,No
43,2,0.26,Yes
51,0,0.49,No
69,0,0.17,No
57,0,0.94,Yes
52,2,0.37,No
67,0,0.36,No
64,0,0.34,No
57,0,0.27,No
64,0,0.48,No
67,0,0.22,No
32,0,0.19,Yes
59,1,0.64,No
47,2,0.29,No
33,0,0.27,No
50,0,0.28,No
28,0,0.57,No
45,4,0.37,No
49,0,0.43,No
49,0,0.13,No
55,0,0.38,No
63,0,0.99,No
41,1,0.77,No
31,0,0.42,Yes
65,0,0.30,No
51,0,0.07,No
48,0,0.49,No
46,3,0.34,No
47,0,0.40,No
55,2,0.70,Yes
66,0,0.27,No
52,2,0.44,No
77,0,0.33,No
30,2,0.00,No
35,0,0.40,No
61,0,0.35,No
54,0,0.63,No
64,0,0.00,No
60,0,0.20,No
30,0,0.51,No
55,2,0.54,Yes
47,1,0.37,No
42,4,0.38,No
76,0,0.01,No
34,0,0.03,No
59,1,0.47,No
49,1,0.32,No
44,0,0.24,No
53,4,0.46,No
84,0,0.00,No
72,0,0.04,No
46,4,0.54,No
53,3,0.20,No
31,2,0.41,Yes
98,0,0.01,No
54,0,0.49,No
53,1,0.34,No
51,0,0.26,Yes
60,0,0.49,No
48,1,0.92,Yes
32,1,0.46,No
56,0,0.01,No
49,0,0.22,No
36,1,0.30,No
37,2,0.27,No
53,0,0.47,No
60,0,0.27,No
59,0,0.07,No
44,3,0.00,No
86,1,0.01,No
58,2,0.12,No
49,0,0.05,No
48,0,0.49,No
41,0,0.04,No
56,2,0.32,No
70,0,0.01,No
52,0,0.17,No
63,1,0.36,Yes
63,0,0.26,No
55,0,0.30,No
47,4,0.14,No
50,3,0.25,No
51,0,0.41,No
46,3,0.48,No
33,0,0.33,No
29,3,0.24,No
61,0,0.28,No
46,3,0.25,No
56,1,0.40,No
35,0,0.66,Yes
58,0,0.24,No
24,0,0.17,No
74,0,0.27,No
53,1,0.11,No
35,2,0.48,No
58,1,0.81,No
73,0,0.58,No
68,0,0.31,No
36,0,0.24,No
47,1,0.28,No
52,0,0.16,No
62,1,0.57,No
44,0,0.21,Yes
40,2,0.21,No
61,0,0.35,Yes
49,0,0.54,No
42,2,0.46,No
52,1,0.16,No
56,0,0.35,No
39,0,0.35,No
31,0,0.12,Yes
88,0,0.31,Yes
27,0,0.17,No
61,0,0.54,No
43,1,0.34,No
42,1,0.64,No
46,1,0.05,No
44,0,0.19,No
43,0,0.50,No
37,1,0.14,Yes
59,0,0.65,No
74,8,0.38,No
61,0,0.63,No
47,3,0.04,No
36,0,0.14,No
27,2,0.02,Yes
56,1,0.17,No
51,1,0.56,No
57,4,0.25,No
23,0,0.00,No
60,0,0.49,Yes
47,3,0.03,No
57,1,0.00,No
35,0,0.01,No
41,0,0.23,No
70,1,0.08,No
49,3,0.25,No
54,0,0.45,Yes
56,2,0.85,Yes
57,1,0.04,No
49,3,0.29,Yes
43,5,0.28,No
64,1,0.07,No
32,0,0.09,No
40,0,0.23,No
64,1,0.59,No
65,0,0.22,No
39,2,0.69,Yes
80,0,0.43,No
32,3,0.41,No
37,1,0.29,No
29,2,0.10,No
56,1,0.36,No
48,1,0.83,No
44,2,0.50,No
45,2,0.22,No
57,1,0.16,No
49,0,0.85,No
46,2,0.96,No
61,0,0.05,No
50,2,0.38,No
30,1,0.19,No
51,1,0.00,No
61,2,0.18,Yes
54,1,0.43,Yes
49,3,0.22,No
52,1,0.26,No
27,1,0.01,No
41,1,0.23,No
42,3,0.42,No
67,0,0.54,No
47,2,0.18,No
48,1,0.72,No
45,3,0.67,Yes
51,3,0.50,No
50,0,0.37,No
57,1,0.04,No
33,2,0.11,Yes
41,2,0.25,No
35,0,0.20,No
50,0,0.08,No
37,2,0.26,Yes
75,0,0.59,No
57,2,0.12,No
59,0,0.08,No
69,0,0.01,No
49,2,0.18,No
49,1,0.01,No
44,2,0.25,Yes
52,1,0.13,No
29,0,0.05,No
69,0,0.02,No
30,0,0.25,No
66,0,0.31,No
59,0,0.03,No
36,1,0.08,No
48,0,0.90,No
35,2,0.47,No
52,0,0.24,No
78,0,0.03,No
57,1,0.20,No
47,0,0.34,No
38,3,0.09,No
47,4,0.46,No
39,0,0.28,No
61,0,0.92,No
77,0,0.55,No
26,0,0.17,No
32,0,0.37,No
41,0,0.69,No
65,0,0.01,No
54,0,0.19,No
66,0,0.23,No
48,5,0.13,No
46,0,0.39,No
69,0,0.74,No
42,0,0.59,No
56,0,0.04,No
47,0,0.17,No
83,0,0.00,No
34,0,0.31,No
51,0,0.75,No
32,0,0.19,No
24,0,0.00,No
55,4,0.22,No
57,0,0.28,No
60,0,0.08,No
69,0,0.24,No
41,3,0.52,Yes
81,0,0.23,No
34,0,0.29,No
70,1,0.19,No
27,0,0.31,No
52,3,0.38,No
63,0,0.26,No
48,2,0.58,No
31,0,0.03,No
75,0,0.25,No
57,3,0.39,Yes
24,0,0.00,No
37,1,0.00,No
81,0,0.01,No
57,1,0.33,No
27,0,0.18,No
75,0,0.52,No
37,1,0.37,No
47,1,0.06,No
69,0,0.17,No
42,0,0.01,Yes
48,3,0.81,No
42,0,0.02,Yes
38,1,0.49,No
40,1,0.71,Yes
50,1,0.61,No
73,1,0.33,No
62,1,0.35,No
27,2,0.24,No
32,2,0.16,No
31,0,0.16,No
63,0,0.45,No
30,0,0.08,Yes
54,0,0.39,No
46,0,0.31,No
49,0,0.41,No
51,1,0.28,No
59,0,0.37,No
62,0,0.30,No
57,0,0.37,No
34,0,0.42,Yes
69,1,0.33,No
26,0,0.00,No
56,0,0.37,No
58,1,0.42,No
48,1,0.58,No
34,0,0.01,Yes
25,0,0.07,No
58,0,0.00,No
63,1,0.05,No
78,0,0.22,No
50,2,0.61,Yes
62,0,0.73,No
43,3,0.54,No
41,3,0.67,No
70,0,0.09,No
61,1,0.15,No
55,0,0.13,No
38,1,0.78,No
93,0,0.00,No
50,2,0.73,No
65,3,0.11,No
50,1,0.17,Yes
77,0,0.00,No
75,0,0.00,No
56,1,0.50,Yes
36,2,0.08,No
44,3,0.35,Yes
27,0,0.19,No
56,0,0.28,No
68,0,0.35,No
76,0,0.14,No
68,0,0.33,No
38,3,0.35,No
57,0,0.31,Yes
51,1,0.28,No
33,3,0.16,Yes
56,0,0.58,No
72,0,0.19,No
53,0,0.00,Yes
81,0,0.01,No
55,0,0.30,No
21,0,0.00,No
53,0,0.67,No
34,2,0.25,Yes
64,0,0.47,No
49,0,0.00,No
39,3,0.12,Yes
67,0,0.09,No
42,0,0.42,No
53,2,0.49,No
33,0,0.15,No
41,2,0.26,No
60,0,0.04,No
26,0,0.13,No
47,0,0.39,No
55,0,0.43,No
59,0,0.01,No
30,0,0.04,No
57,0,0.38,No
72,0,0.58,No
83,0,0.14,No
40,1,0.45,No
32,0,0.27,No
31,2,0.38,No
59,2,0.49,No
58,0,0.00,No
37,0,0.43,Yes
30,0,0.47,No
66,0,0.64,No
73,1,0.31,No
35,0,0.44,No
57,0,0.10,No
65,0,0.32,No
37,0,0.44,No
27,1,0.88,No
35,2,0.34,No
32,0,0.21,Yes
28,3,0.11,Yes
38,2,0.41,No
49,3,0.75,No
54,2,0.58,Yes
59,0,0.22,No
55,0,0.25,No
54,0,0.98,No
44,5,0.76,No
58,1,0.23,No
48,2,0.30,No
31,0,0.51,No
48,0,0.75,No
81,0,0.16,No
58,0,0.78,No
54,3,0.22,No
54,0,0.64,No
34,0,0.37,No
51,2,0.33,No
31,1,0.38,No
60,0,0.46,No
62,1,0.19,No
56,0,0.19,No
63,0,0.05,No
60,0,0.27,Yes
65,1,0.13,No
54,2,0.01,Yes
66,1,0.45,No
56,2,0.70,No
34,0,0.36,No
48,5,0.37,Yes
63,0,0.04,No
47,2,0.22,No
62,0,0.38,No
56,1,0.26,No
32,3,0.01,No
55,1,0.03,No
67,1,0.63,No
57,1,0.01,No
36,2,0.37,No
59,0,0.30,No
59,0,0.66,No
29,0,0.30,No
41,0,0.52,No
75,0,0.26,No
63,0,0.47,Yes
73,1,0.44,No
38,2,0.13,No
46,2,0.29,Yes
47,0,0.26,Yes
50,4,0.61,No
48,3,0.28,No
28,0,0.04,No
38,0,0.09,No
79,1,0.40,No
27,0,0.12,No
29,0,0.20,No
77,0,0.09,No
64,2,0.47,No
79,0,0.00,No
57,0,0.56,Yes
43,1,0.38,No
45,3,0.35,No
29,0,0.26,Yes
71,2,0.23,No
55,0,0.73,Yes
50,0,0.31,No
54,0,0.24,Yes
51,0,0.40,No
45,3,0.58,No
69,0,0.02,No
69,0,0.00,No
51,0,0.89,No
32,2,0.36,No
56,2,0.28,No
57,0,0.31,No
69,0,0.35,Yes
46,3,0.38,No
33,1,0.54,No
50,5,0.41,No
58,0,0.19,No
71,0,0.01,No
53,0,0.20,No
61,0,0.17,No
30,1,0.15,Yes
38,1,0.71,No
28,0,0.11,No
31,1,0.28,No
52,0,0.72,Yes
47,2,0.35,No
46,3,0.27,No
63,0,0.01,No
40,2,0.42,No
35,1,0.10,No
27,0,0.13,No
62,0,0.01,No
25,0,0.33,No
72,0,0.19,No
71,0,0.20,No
26,0,0.67,No
48,2,0.50,No
33,3,0.06,No
49,3,0.72,No
57,0,0.05,No
30,0,0.28,No
60,1,0.37,No
63,1,0.33,No
51,2,0.23,No
78,1,0.27,No
57,0,0.39,Yes
41,0,0.42,No
46,2,0.45,Yes
75,0,0.01,No
51,0,0.51,No
79,1,0.16,No
39,0,0.00,No
64,0,0.18,No
50,0,0.41,No
39,0,0.14,No
48,0,0.14,Yes
44,3,0.37,No
32,0,0.18,No
41,2,0.17,No
64,0,0.00,No
37,1,0.15,Yes
71,0,0.54,No
52,1,0.81,No
60,0,0.41,No
55,0,0.24,Yes
45,2,0.34,No
45,2,0.22,No
86,1,0.60,No
63,3,0.47,No
62,0,0.17,No
71,0,0.19,No
48,1,0.13,No
50,0,0.00,No
45,2,0.28,Yes
41,4,0.22,No
63,0,0.23,No
45,2,0.38,No
70,0,0.11,No
53,0,0.51,No
27,3,0.10,No
52,1,0.52,Yes
47,2,0.56,No
35,0,0.33,Yes
56,0,0.37,No
43,2,0.45,Yes
44,2,0.25,Yes
57,0,0.04,No
67,0,0.04,No
39,1,0.18,No
47,0,0.49,No
73,0,0.21,No
57,3,0.53,No
61,0,0.26,No
42,2,0.23,No
49,0,0.18,No
44,4,0.43,Yes
54,0,0.37,No
29,0,0.07,No
43,0,0.45,No
55,0,0.48,No
90,0,0.00,No
53,3,0.54,No
44,5,0.35,No
35,1,1.00,No
45,2,0.36,Yes
26,2,0.08,No
63,1,0.22,No
71,0,0.06,No
38,0,0.10,No
30,0,0.16,No
82,0,0.24,No
37,0,0.67,No
49,0,0.78,No
45,1,0.33,Yes
67,0,0.12,No
41,0,0.49,No
43,1,0.04,No
76,0,0.12,No
85,0,0.27,No
38,0,0.27,Yes
41,0,0.08,No
71,0,0.31,No
64,0,0.84,No
40,0,0.27,No
44,1,0.29,No
46,1,0.93,No
49,0,0.28,No
40,1,0.70,No
80,0,0.18,No
63,0,0.30,No
33,0,0.00,No
59,0,0.44,Yes
42,0,0.59,No
51,4,0.55,Yes
71,1,0.10,No
48,1,0.02,No
61,0,0.53,No
33,0,0.85,No
62,1,0.23,No
65,1,0.09,No
62,1,0.16,No
49,0,0.06,No
77,0,0.29,No
50,4,0.36,No
56,1,0.34,No
57,0,0.28,No
38,1,0.49,No
80,0,0.11,No
62,0,0.61,Yes
56,0,0.26,No
57,0,0.46,No
27,1,0.10,No
51,4,0.21,No
47,0,0.08,No
54,0,0.31,No
33,0,0.16,No
49,3,0.26,Yes
41,2,0.29,No
40,2,0.32,No
65,2,0.28,No
37,4,0.28,No
76,1,0.39,No
33,0,0.73,No
37,0,0.64,No
45,0,0.14,No
34,1,0.37,No
64,0,0.19,No
44,0,0.00,Yes
60,2,0.60,Yes
45,1,0.37,Yes
36,2,0.44,No
29,3,0.12,No
60,0,0.01,No
45,3,0.13,No
65,0,0.18,No
43,5,0.94,Yes
25,0,0.29,No
36,0,0.27,No
60,0,0.49,No
32,1,0.52,No
30,0,0.01,No
50,2,0.49,No
47,2,0.46,No
46,2,0.38,No
39,0,0.53,No
41,1,0.38,Yes
58,0,0.32,No
40,0,0.27,No
74,0,0.00,No
34,0,0.06,No
63,0,0.31,No
52,0,0.58,No
77,0,0.56,No
33,0,0.13,No
56,1,0.24,No
25,0,0.24,No
60,0,0.43,No
60,2,0.35,No
43,3,0.41,No
85,0,0.00,No
46,0,0.25,No
66,0,0.02,No
46,2,0.10,No
38,2,0.12,No
33,0,0.35,Yes
39,4,0.31,Yes
31,0,0.33,Yes
54,0,0.51,No
52,0,0.10,No
80,1,0.23,No
74,1,0.11,No
59,0,0.35,No
31,1,0.49,Yes
43,1,0.20,No
49,1,0.07,No
48,0,0.81,No
39,2,0.50,Yes
51,1,0.57,No
42,0,0.36,No
40,3,0.88,No
69,0,0.14,No
56,0,0.31,No
43,2,0.50,No
40,0,0.49,No
64,0,0.24,Yes
45,0,0.21,No
69,0,0.43,No
61,0,0.36,No
75,0,0.19,No
67,1,0.10,No
65,0,0.21,No
51,3,0.45,No
59,0,0.33,No
49,0,0.48,No
57,2,0.61,No
38,1,0.10,No
57,0,0.62,Yes
38,0,0.30,No
39,1,0.44,Yes
67,0,0.16,No
80,0,0.00,No
76,0,0.55,No
49,0,0.49,Yes
45,0,0.33,No
41,0,0.83,No
37,2,0.42,No
67,0,0.25,No
47,2,0.05,No
69,0,0.36,No
36,0,0.33,No
70,0,0.33,No
61,0,0.85,No
67,0,0.03,No
58,2,0.28,No
30,0,0.22,Yes
51,1,0.19,No
48,0,0.50,Yes
39,1,0.14,Yes
69,0,0.03,No
64,0,0.11,No
74,0,0.01,No
35,3,0.31,Yes
44,1,0.63,No
50,3,0.37,No
61,0,0.47,Yes
51,0,0.34,No
75,0,0.02,No
44,0,0.13,No
51,2,0.69,No
31,0,0.36,No
43,0,0.09,No
37,0,0.29,No
74,0,0.01,Yes
28,1,0.10,No
42,2,0.00,No
63,1,0.28,No
38,1,0.21,No
33,0,0.18,No
43,0,0.03,Yes
63,0,0.00,No
47,3,0.32,No
68,1,0.01,No
66,0,0.05,No
36,0,0.14,No
43,2,0.28,No
69,0,0.91,No
53,0,0.21,No
60,0,0.18,No
60,0,0.82,No
42,2,0.39,No
39,1,0.20,Yes
62,3,0.16,No
54,1,0.37,No
46,4,0.00,No
83,0,0.14,No
54,1,0.23,No
39,2,0.40,No
40,2,0.07,No
27,1,0.12,No
54,1,0.47,No
78,0,0.17,No
64,0,0.48,No
53,1,0.60,Yes
42,3,0.29,No
66,0,0.27,Yes
45,0,0.22,No
34,0,0.15,No
91,0,0.00,No
37,0,0.02,No
31,0,0.07,No
34,0,0.17,No
48,2,0.47,Yes
58,0,0.29,No
50,0,0.18,No
52,0,0.67,No
50,2,0.27,No
60,0,0.80,Yes
43,2,0.00,No
32,2,0.11,No
47,0,0.23,No
62,0,0.57,No
58,2,0.15,No
49,1,0.59,No
49,3,0.17,No
31,0,0.70,No
50,1,0.54,No
34,1,0.25,No
47,2,0.07,No
52,1,0.01,No
43,1,0.45,No
27,0,0.06,No
38,3,0.13,No
55,0,0.12,No
63,1,0.10,No
63,0,0.34,No
60,0,0.22,No
63,0,0.20,No
42,0,0.20,No
27,0,0.01,Yes
64,0,0.60,Yes
64,1,0.16,No
32,2,0.44,No
61,0,0.62,No
40,3,0.92,Yes
44,0,0.66,Yes
35,0,0.14,Yes
50,0,0.10,No
38,3,0.11,No
71,0,0.02,No
55,1,0.31,No
33,0,0.33,No
44,3,0.44,No
43,2,0.42,Yes
56,1,0.11,Yes
27,1,0.23,Yes
46,2,0.14,Yes
48,4,0.43,No
57,0,0.12,No
63,0,0.65,No
66,0,0.26,No
62,0,0.44,No
59,0,0.27,No
60,0,0.12,Yes
46,0,0.05,No
29,0,0.05,No
39,0,0.20,No
41,0,0.42,No
44,0,0.15,No
45,2,0.20,No
70,0,0.19,No
53,6,0.56,No
49,0,0.08,No
42,2,0.35,No
25,0,0.48,No
76,0,0.41,No
60,0,0.04,Yes
55,1,0.08,Yes
56,0,0.18,No
60,1,0.56,No
40,2,0.07,No
22,0,0.00,No
54,2,0.45,No
37,0,0.29,No
30,0,0.21,No
62,0,0.12,No
39,1,0.98,No
36,0,0.63,Yes
54,2,0.09,No
56,0,0.37,Yes
50,2,0.31,No
79,0,0.12,No
66,0,0.54,No
68,0,0.27,No
40,1,0.52,No
45,2,0.24,No
63,2,0.01,No
46,0,0.18,No
38,1,0.14,No
42,2,0.40,No
42,2,0.39,No
56,0,0.01,No
66,0,0.50,No
30,0,0.00,Yes
71,1,0.25,No
56,1,0.44,No
29,0,0.31,No
51,1,0.57,Yes
41,1,0.22,No
33,0,0.11,No
62,1,0.87,No
55,2,0.31,No
45,1,0.64,Yes
48,0,0.26,No
64,0,0.34,No
65,0,0.14,No
44,5,0.12,No
78,0,0.04,No
26,0,0.10,Yes
60,0,0.27,No
66,0,0.57,No
53,0,0.17,No
46,3,0.39,No
65,0,0.05,No
57,1,0.43,No
53,2,0.36,No
76,0,0.69,No
50,2,0.39,Yes
65,1,0.67,No
66,0,0.40,No
52,0,0.24,No
73,0,0.18,No
63,0,0.44,No
64,0,0.28,Yes
58,1,0.59,No
58,0,0.36,No
52,0,0.00,No
46,1,0.26,No
87,0,0.15,No
85,0,0.32,No
47,2,0.58,No
40,0,0.21,No
36,6,0.40,No
52,0,0.14,No
46,0,0.94,No
89,0,0.46,No
42,2,0.88,No
41,4,0.21,No
69,1,0.01,No
61,0,0.22,No
34,0,0.27,No
40,2,0.02,Yes
34,2,0.22,No
65,0,0.97,No
57,0,0.37,Yes
56,4,0.47,No
54,2,0.71,No
73,0,0.29,No
59,1,0.03,No
54,3,0.28,No
96,0,0.04,No
45,0,0.33,No
72,0,0.04,No
50,2,0.42,Yes
57,0,0.38,No
68,1,0.24,Yes
53,3,0.52,Yes
61,1,0.43,No
38,1,0.62,No
60,0,0.14,No
70,0,0.60,No
29,2,0.13,No
59,1,0.26,No
67,0,0.23,No
70,0,0.09,No
45,1,0.22,No
44,2,0.35,No
51,1,0.71,Yes
46,2,0.65,No
53,2,0.22,No
52,2,0.35,No
36,1,0.26,No
29,0,0.05,No
59,0,0.30,Yes
62,0,0.33,No
43,2,0.22,No
47,0,0.34,No
61,1,0.25,No
52,0,0.21,No
43,0,0.13,No
37,5,0.18,No
52,1,0.24,No
45,0,0.27,No
29,0,0.02,No
78,2,0.27,Yes
38,2,0.02,No
51,0,0.09,Yes
60,0,0.11,No
30,2,0.14,No
36,2,0.25,No
30,0,0.61,No
26,1,0.16,No
75,0,0.00,No
26,0,0.31,No
86,0,0.66,No
44,1,0.44,Yes
54,1,0.16,No
50,2,0.29,No
27,0,0.28,No
25,0,0.21,No
56,0,0.26,Yes
62,1,0.36,Yes
41,4,0.02,No
42,2,0.84,No
76,0,0.14,No
33,0,0.40,Yes
24,1,0.02,Yes
40,1,0.87,No
63,0,0.07,No
43,2,0.56,No
50,3,0.38,No
51,3,0.07,No
65,2,0.28,No
82,0,0.02,No
45,0,0.48,Yes
41,2,0.11,No
34,0,0.03,No
62,0,0.26,No
68,1,0.15,No
46,4,0.45,No
68,0,0.00,No
46,3,0.52,No
46,3,0.56,Yes
45,0,0.73,No
62,2,0.31,No
63,0,0.40,Yes
39,2,0.18,Yes
59,2,0.55,No
78,0,0.46,No
68,0,0.48,No
68,1,0.06,No
76,0,0.33,No
56,1,0.06,No
44,0,0.14,Yes
49,1,0.23,No
64,0,0.01,No
86,0,0.09,No
57,2,0.71,No
24,0,0.18,Yes
57,0,0.36,No
34,5,0.20,No
63,0,0.19,Yes
55,0,0.12,No
69,0,0.00,No
55,1,0.51,Yes
77,0,0.36,No
64,0,0.63,No
71,0,0.06,No
37,1,0.94,No
67,1,0.17,No
37,1,0.09,Yes
28,0,0.01,No
51,1,0.44,No
53,0,0.09,No
62,1,0.68,No
41,0,0.34,Yes
36,0,0.09,No
54,2,0.78,Yes
49,2,0.24,Yes
49,3,0.32,No
48,1,0.25,No
63,0,0.02,No
60,0,0.08,No
