Age,Dependents,Debt_Ratio,Late_Payment
60,1,0.34,No
40,2,0.77,No
64,0,0.28,No
49,1,0.27,No
67,0,0.43,Yes
77,0,0.07,No
38,1,0.34,No
58,0,0.38,Yes
36,3,0.51,No
54,2,0.30,No
72,0,0.16,No
38,0,0.38,Yes
30,0,0.37,No
43,4,0.35,No
34,2,0.11,No
58,1,0.42,No
73,1,0.66,Yes
40,1,0.40,No
39,0,0.38,No
34,0,0.87,Yes
37,0,0.52,No
37,2,0.85,No
58,3,0.78,Yes
54,1,0.10,No
75,0,0.20,No
38,2,0.55,No
55,0,0.15,No
33,0,0.18,No
36,2,0.16,No
41,0,0.19,No
29,0,0.31,No
56,2,0.20,No
35,1,0.18,No
48,0,0.37,No
70,0,0.34,No
81,0,0.00,No
51,0,0.26,No
48,0,0.46,No
41,4,0.37,No
34,1,0.42,Yes
40,0,0.23,No
41,1,0.04,No
52,2,0.26,No
47,2,0.14,No
60,0,0.79,No
72,0,0.62,No
52,2,0.09,No
86,0,0.32,No
25,0,0.67,No
53,1,0.02,No
33,2,0.37,No
66,1,0.19,No
55,0,0.44,No
80,0,0.01,No
43,2,0.13,No
44,3,0.09,No
34,5,0.22,No
31,1,0.82,No
67,0,0.47,No
63,2,0.62,No
41,0,0.35,No
31,0,0.62,No
37,2,0.42,No
66,0,0.06,No
36,1,0.55,Yes
53,1,0.41,No
37,0,0.37,No
52,2,0.65,Yes
81,0,0.01,No
35,0,0.55,No
35,0,0.21,No
54,0,0.17,No
77,1,0.15,No
35,3,0.09,Yes
23,2,0.18,No
56,0,0.13,No
58,1,0.01,No
53,0,0.27,No
71,0,0.31,No
46,0,0.35,No
46,3,0.19,No
65,3,0.22,No
37,1,0.09,No
56,0,0.00,No
56,1,0.90,Yes
55,1,0.14,No
52,1,0.50,No
48,0,0.15,No
36,1,0.62,No
60,0,0.02,No
49,1,0.54,No
52,3,0.48,Yes
65,0,0.57,Yes
49,1,0.63,Yes
52,0,0.26,No
43,4,0.68,No
43,2,0.21,No
34,1,0.00,No
59,0,0.42,Yes
33,2,0.51,Yes
38,2,0.15,No
30,0,0.15,Yes
55,0,0.41,No
40,3,0.41,No
42,2,0.55,No
63,0,0.16,Yes
76,0,0.00,No
65,0,0.00,No
54,1,0.35,No
55,2,0.33,Yes
61,2,0.00,No
52,0,0.17,No
45,0,0.18,No
60,0,0.01,No
49,1,0.18,No
30,0,0.26,No
44,0,0.42,No
70,1,0.01,No
46,3,0.99,Yes
82,1,0.33,Yes
36,1,0.10,No
48,3,0.13,No
54,0,0.21,No
49,2,0.00,No
34,0,0.43,Yes
36,3,0.68,No
40,0,0.77,No
74,0,0.00,No
55,1,0.75,Yes
61,0,0.18,Yes
85,0,0.63,No
78,1,0.00,No
72,0,0.28,No
62,0,0.27,No
57,1,0.25,Yes
39,0,0.43,No
51,3,0.38,No
45,0,0.24,No
46,1,0.28,Yes
45,0,0.32,No
53,0,0.15,No
45,0,0.46,No
51,3,0.49,No
59,0,0.62,No
65,0,0.42,No
46,1,0.12,No
56,1,0.02,No
55,3,0.30,No
73,1,0.39,No
55,2,0.33,Yes
50,1,0.12,No
67,1,0.10,No
41,2,0.22,No
50,0,0.91,No
55,0,0.36,No
57,1,0.38,Yes
41,0,0.08,No
34,3,0.36,No
88,0,0.00,No
32,0,0.18,No
23,0,0.25,No
71,1,0.00,No
59,1,0.20,No
31,0,0.38,No
65,0,0.41,No
60,2,0.22,No
40,1,0.52,No
62,1,0.23,No
76,0,0.21,No
53,0,0.11,No
77,1,0.46,No
39,2,0.35,No
62,0,0.05,No
37,3,0.10,No
33,0,0.83,No
55,0,0.03,No
54,3,0.91,No
38,0,0.56,No
54,2,0.23,No
49,0,0.09,No
36,2,0.24,No
72,0,0.00,No
74,0,0.31,No
55,2,0.37,No
80,0,0.13,No
61,0,0.44,Yes
70,0,0.45,No
44,4,0.47,Yes
45,0,0.41,No
31,1,0.53,No
63,1,0.13,No
39,3,0.60,No
63,3,0.02,No
71,0,0.26,No
44,4,0.30,Yes
56,0,0.68,No
64,0,0.58,No
34,0,0.75,No
36,2,0.53,No
50,5,0.35,Yes
65,0,0.61,Yes
36,0,0.39,No
53,0,0.54,Yes
62,2,0.11,No
80,0,0.51,No
50,3,0.65,No
47,0,0.13,No
49,0,0.57,No
43,2,0.21,No
60,0,0.63,Yes
40,0,0.13,No
38,1,0.67,No
53,3,0.20,No
56,0,0.43,Yes
29,0,0.24,Yes
59,2,0.30,No
58,0,0.19,Yes
68,0,0.26,No
50,2,0.63,No
49,0,0.33,No
36,0,0.08,No
73,0,0.50,No
25,0,0.33,No
55,7,0.17,No
65,0,0.99,No
52,0,0.11,Yes
68,0,0.47,No
31,0,0.30,No
78,0,0.56,No
54,0,0.68,Yes
73,0,0.00,No
60,0,0.63,No
45,2,0.29,No
49,3,0.66,No
57,2,0.23,No
62,0,0.00,No
23,0,0.57,Yes
59,2,0.17,No
67,0,0.55,No
28,0,0.42,Yes
70,0,0.00,No
40,2,0.13,Yes
55,0,0.24,No
52,0,0.74,No
27,0,0.27,No
56,0,0.09,No
61,0,0.26,No
55,1,0.02,Yes
58,0,0.36,No
45,2,0.26,No
61,2,0.34,No
37,1,0.56,No
58,1,0.41,No
32,0,0.41,No
80,1,0.48,No
45,0,0.31,No
48,3,0.35,No
45,0,0.26,Yes
32,2,0.29,No
55,0,0.42,No
52,2,0.65,No
38,2,0.39,No
60,0,0.53,No
30,0,0.27,No
79,0,0.01,No
70,1,0.31,No
66,0,0.09,No
60,1,0.35,No
67,1,0.01,No
76,1,0.73,No
83,0,0.00,No
63,0,0.14,No
59,0,0.00,No
70,0,0.00,No
25,0,0.28,No
80,0,0.00,No
60,0,0.63,Yes
39,0,0.57,Yes
80,0,0.12,No
62,1,0.62,No
52,2,0.02,No
65,1,0.35,No
53,3,0.31,No
31,0,0.06,No
57,0,0.24,No
42,0,0.56,No
40,0,0.19,No
44,2,0.44,Yes
42,4,0.08,No
51,2,0.47,No
50,0,0.64,No
43,0,0.76,No
60,0,0.00,No
82,1,0.07,Yes
65,0,0.34,No
67,0,0.50,No
32,1,0.03,Yes
65,0,0.31,Yes
57,2,0.01,No
47,2,0.45,No
44,0,0.08,No
69,0,0.01,No
57,0,0.10,No
86,1,0.01,No
61,1,0.00,No
38,2,0.94,No
71,0,0.19,Yes
66,0,0.00,No
72,0,0.15,No
50,0,0.36,Yes
63,1,0.56,No
37,0,0.73,Yes
37,0,0.14,No
43,0,0.54,Yes
55,0,0.20,No
29,0,0.03,No
61,0,0.29,No
59,0,0.52,No
32,0,0.37,No
37,0,0.00,No
56,0,0.44,No
68,0,0.00,No
48,0,0.20,No
63,4,0.20,Yes
76,0,0.01,No
37,0,0.07,No
47,1,0.75,No
54,1,0.24,No
61,1,0.95,Yes
40,0,0.44,Yes
45,1,0.11,No
28,3,0.04,Yes
53,2,0.22,Yes
55,4,0.16,No
46,3,0.42,Yes
59,0,0.30,Yes
39,0,0.05,No
41,1,0.41,Yes
54,1,0.62,No
55,0,0.02,Yes
38,0,0.27,No
24,0,0.00,No
26,0,0.06,No
24,0,0.00,No
48,2,0.78,No
56,2,0.38,No
54,2,0.02,No
52,1,0.43,Yes
28,0,0.11,No
39,2,0.23,No
54,1,0.15,No
49,1,0.43,No
55,0,0.38,No
63,0,0.44,No
57,3,0.19,No
63,1,0.28,No
46,7,0.43,No
50,0,0.44,Yes
54,0,0.38,No
60,0,0.71,No
38,2,0.71,No
70,1,0.17,No
49,0,0.49,No
50,1,0.31,No
39,0,0.33,No
66,0,0.39,No
65,0,0.08,No
56,2,0.32,No
55,0,0.17,No
68,0,0.21,No
48,0,0.36,No
52,1,0.42,No
50,0,0.20,No
44,0,0.06,No
50,1,0.43,No
33,0,0.21,No
27,0,0.14,Yes
74,0,0.01,No
60,0,0.65,No
27,0,0.04,No
45,0,0.25,No
58,0,0.03,No
36,1,0.56,No
30,0,0.15,Yes
31,0,0.51,No
54,0,0.26,No
40,0,0.67,No
78,0,0.50,No
48,3,0.23,No
58,0,0.01,No
86,0,0.14,No
53,0,0.33,No
71,0,0.01,No
52,0,0.00,No
47,1,0.67,No
57,0,0.36,No
57,1,0.03,Yes
42,2,0.32,No
33,2,0.13,No
60,2,0.36,No
46,2,0.21,No
54,1,0.13,Yes
60,0,0.19,No
78,0,0.02,No
31,0,0.37,No
39,1,0.49,No
40,3,0.12,Yes
48,3,0.72,No
43,2,0.14,No
56,2,0.27,No
61,1,0.20,No
54,0,0.22,No
49,1,0.66,Yes
49,2,0.28,No
46,3,0.19,No
69,0,0.01,No
71,2,0.29,No
63,0,0.65,No
62,0,0.41,Yes
53,1,0.25,No
57,1,0.17,No
39,0,0.38,No
51,3,0.35,No
60,0,0.45,Yes
78,0,0.07,No
84,0,0.01,No
49,0,0.26,No
38,0,0.35,Yes
66,0,0.38,No
34,1,0.03,No
37,3,0.89,No
23,0,0.00,No
31,0,0.32,No
49,1,0.04,No
59,0,0.16,No
77,0,0.24,No
42,3,0.49,No
43,0,0.21,Yes
64,0,0.64,No
60,0,0.62,No
57,0,0.36,No
75,0,0.08,No
50,3,0.75,No
40,2,0.28,No
46,0,0.29,No
40,0,0.03,No
74,0,0.00,No
32,3,0.20,Yes
59,0,0.09,No
45,3,0.29,No
30,0,0.47,No
46,4,0.28,Yes
59,0,0.27,No
74,0,0.15,No
38,2,0.70,Yes
55,0,0.01,Yes
62,1,0.41,No
70,0,0.34,No
52,2,0.16,No
81,1,0.17,No
66,1,0.29,Yes
63,0,0.03,No
55,2,0.39,No
36,0,0.34,No
28,1,0.19,No
31,0,0.75,Yes
64,0,0.02,No
69,0,0.76,No
56,1,0.13,No
45,2,0.42,No
50,3,0.51,No
76,0,0.45,No
28,0,0.06,No
54,1,0.46,No
34,1,0.26,No
58,4,0.37,No
41,2,0.15,No
61,0,0.67,No
65,0,0.41,No
60,0,0.29,No
54,0,0.38,Yes
59,1,0.48,Yes
49,0,0.10,No
65,0,0.31,Yes
34,0,0.40,No
51,0,0.25,No
49,1,0.43,Yes
59,0,0.79,No
56,2,0.55,No
39,1,0.28,No
44,1,0.29,No
59,2,0.02,Yes
34,0,0.56,No
51,2,0.65,No
56,0,0.32,No
46,2,0.07,No
58,0,0.13,No
49,3,0.29,No
54,1,0.25,No
65,0,0.66,No
49,0,0.68,No
52,0,0.32,No
37,2,0.19,No
71,0,0.15,No
73,0,0.76,No
54,0,0.67,No
54,1,0.26,Yes
45,0,0.53,No
53,2,0.23,No
38,0,0.22,No
54,1,0.51,Yes
44,2,0.25,Yes
58,0,0.10,No
33,0,0.30,No
30,1,0.02,No
65,0,0.00,No
48,2,0.67,No
59,1,0.32,No
55,1,0.66,No
55,0,0.38,No
32,1,0.69,Yes
40,1,0.50,No
25,1,0.06,Yes
39,2,0.74,No
58,1,0.42,No
26,0,0.37,No
42,1,0.20,Yes
32,1,0.59,No
41,0,0.20,No
53,0,0.67,Yes
44,1,0.36,No
73,0,0.34,Yes
31,2,0.08,No
62,0,0.43,No
31,1,0.24,No
22,0,0.00,No
50,3,0.10,No
31,2,0.02,No
52,1,0.22,No
71,0,0.40,No
51,3,0.59,No
40,3,0.14,No
51,0,0.10,Yes
66,0,0.05,No
66,1,0.05,No
26,1,0.07,No
45,0,0.46,No
60,0,0.27,No
37,1,0.33,No
52,1,0.11,No
40,1,0.12,No
54,1,0.68,No
41,3,0.15,No
61,1,0.21,No
46,0,0.64,Yes
42,2,0.70,Yes
56,0,0.19,No
34,0,0.24,Yes
63,1,0.22,No
41,3,0.04,No
58,0,0.17,No
39,0,0.45,No
29,3,0.22,No
48,0,0.04,No
45,0,0.26,No
62,0,0.30,No
65,0,0.15,No
65,1,0.24,No
53,0,0.18,Yes
37,2,0.10,No
47,0,0.01,No
29,1,0.30,No
35,0,0.23,Yes
31,0,0.69,No
38,2,0.44,No
54,0,0.96,Yes
34,0,0.19,No
57,1,0.41,No
57,0,0.45,No
45,2,0.50,Yes
48,0,0.78,No
55,0,0.32,No
71,0,0.12,No
68,1,0.09,No
40,3,0.63,Yes
45,4,0.77,No
37,0,0.09,No
34,2,0.31,No
47,1,0.23,No
55,3,0.34,No
63,0,0.16,No
63,0,0.18,No
58,1,0.40,No
56,2,0.01,No
31,2,0.53,No
64,1,0.09,No
58,0,0.24,No
37,2,0.45,No
82,1,0.00,No
81,0,0.01,No
45,2,0.16,No
60,2,0.06,No
45,3,0.38,Yes
41,3,0.69,Yes
61,1,0.57,No
58,0,0.26,No
51,2,0.47,No
33,1,0.79,No
50,1,0.32,Yes
51,2,0.73,No
61,0,0.01,No
51,0,0.50,No
52,0,0.22,No
78,0,0.54,No
28,0,0.06,Yes
35,2,0.13,No
30,1,0.21,No
61,0,0.28,No
64,3,0.63,Yes
29,0,0.24,No
38,0,0.71,No
80,0,0.83,No
46,3,0.31,No
55,0,0.24,Yes
62,0,0.00,No
50,1,0.13,Yes
31,2,0.35,No
54,2,0.73,Yes
76,0,0.67,No
45,2,0.80,No
44,2,0.55,Yes
23,0,0.01,No
24,0,0.00,No
62,2,0.16,No
63,0,0.41,No
87,0,0.00,No
52,0,0.07,Yes
59,2,0.44,Yes
48,1,0.11,No
49,0,0.41,Yes
25,1,0.08,Yes
40,3,0.73,No
55,0,0.22,Yes
63,0,0.67,No
49,0,0.08,Yes
44,0,0.46,No
59,0,0.31,No
58,0,0.51,No
87,0,0.30,No
55,0,0.65,Yes
46,0,0.15,No
50,1,0.36,No
66,0,0.00,No
69,1,0.16,No
38,0,0.23,No
26,0,0.00,No
26,0,0.05,No
39,5,0.33,No
44,2,0.28,No
33,1,0.55,No
72,1,0.17,No
65,0,0.58,No
78,0,0.01,No
68,1,0.62,No
31,4,0.05,No
29,0,0.19,No
25,0,0.63,No
71,0,0.34,No
28,1,0.25,Yes
58,0,0.43,No
69,0,0.50,No
40,0,0.15,No
55,1,0.66,No
35,0,0.32,Yes
74,0,0.16,No
32,2,0.27,No
51,1,0.35,No
63,1,0.10,No
56,2,0.33,No
64,0,0.30,No
53,4,0.48,No
59,0,0.01,No
53,1,0.42,No
45,0,0.07,Yes
54,0,0.84,No
60,1,0.00,No
41,2,0.44,No
70,0,0.33,No
50,0,0.25,No
49,0,0.31,No
80,0,0.10,No
65,2,0.22,No
65,0,0.72,Yes
66,0,0.52,Yes
41,0,0.05,No
67,0,0.22,No
58,0,0.35,Yes
50,0,0.20,No
81,0,0.15,Yes
31,0,0.32,Yes
39,1,0.15,No
79,0,0.13,No
31,3,0.15,No
60,0,0.43,No
33,0,0.19,Yes
46,0,0.18,No
49,4,0.35,No
54,2,0.52,No
46,2,0.37,No
42,2,0.13,No
38,3,0.13,No
43,2,0.53,No
60,0,0.17,No
43,1,0.10,No
40,0,0.34,No
47,0,0.01,No
59,4,0.22,No
54,0,0.67,No
43,1,0.00,No
34,1,0.26,No
36,0,0.32,No
60,0,0.27,No
42,2,0.51,No
36,0,0.74,Yes
41,0,0.10,Yes
52,2,0.27,Yes
62,0,0.08,No
34,0,0.30,No
53,0,0.19,No
54,1,0.26,Yes
41,0,0.50,No
43,2,0.42,No
67,0,0.49,Yes
37,1,0.31,No
40,2,0.68,No
30,0,0.00,No
42,3,0.51,No
50,2,0.31,No
48,2,0.52,No
51,0,0.05,No
38,0,0.07,Yes
49,2,0.43,No
51,2,0.34,No
52,1,0.35,No
29,0,0.59,No
44,1,0.83,No
30,1,0.32,No
81,0,0.46,No
53,1,0.46,No
76,1,0.46,No
55,1,0.09,No
74,0,0.17,No
54,2,0.27,No
69,0,0.00,No
55,0,0.51,Yes
59,0,0.16,No
52,0,0.11,No
33,0,0.24,No
51,1,0.34,No
52,2,0.43,Yes
63,0,0.32,No
42,2,0.38,No
39,0,0.12,No
51,0,0.22,Yes
39,2,0.20,No
48,1,0.21,No
37,1,0.15,No
49,0,0.15,Yes
71,0,0.14,No
52,0,0.23,No
63,0,0.00,No
31,2,0.56,No
44,2,0.20,No
56,0,0.28,No
27,0,0.34,No
53,0,0.00,No
46,2,0.51,No
64,0,0.01,No
36,2,0.42,No
35,0,0.81,No
39,2,0.74,No
32,0,0.06,Yes
43,1,0.16,No
39,2,0.19,No
62,0,0.80,Yes
68,0,0.00,No
64,0,0.42,No
62,1,0.13,No
64,0,0.51,No
42,2,0.43,No
49,1,0.43,No
83,0,0.01,No
63,0,0.00,No
46,1,0.33,No
31,0,0.25,No
48,2,0.05,No
47,0,0.14,No
63,0,0.39,No
28,0,0.22,No
54,0,0.46,No
59,0,0.21,No
63,1,0.25,Yes
33,1,0.70,No
59,1,0.41,No
59,1,0.59,No
89,0,0.36,No
69,0,0.35,No
41,1,0.69,No
44,0,0.24,No
54,2,0.39,No
48,6,0.25,Yes
54,0,0.31,No
73,1,0.00,No
46,2,0.40,Yes
47,3,0.21,No
32,1,0.46,No
52,1,0.33,No
25,0,0.44,No
37,3,0.12,Yes
39,0,0.23,No
56,0,0.51,No
51,0,0.27,Yes
24,0,0.68,No
50,2,0.07,No
39,3,0.34,No
67,1,0.26,No
63,0,0.00,No
55,1,0.33,No
66,0,0.21,No
67,2,0.12,No
62,0,0.33,No
42,2,0.66,No
32,0,0.01,Yes
43,0,0.43,No
58,2,0.41,Yes
31,0,0.21,No
39,2,0.81,No
58,2,0.07,No
55,0,0.05,Yes
41,0,0.30,No
37,0,0.59,No
32,0,0.46,No
43,2,0.30,No
52,0,0.33,No
36,0,0.27,No
38,3,0.09,No
37,0,0.51,No
40,1,0.15,No
69,0,0.17,No
45,2,0.80,Yes
45,1,0.09,No
53,0,0.03,Yes
69,0,0.77,No
30,0,0.12,Yes
47,0,0.50,No
47,2,0.51,Yes
48,0,0.26,Yes
62,0,0.22,No
38,2,0.48,No
51,0,0.10,No
26,0,0.00,Yes
72,0,0.04,No
36,2,0.16,No
36,0,0.38,No
71,0,0.25,Yes
79,0,0.01,No
46,1,0.28,No
54,0,0.69,Yes
29,0,0.10,No
63,0,0.67,No
43,2,0.55,Yes
52,3,0.16,No
61,1,0.39,No
58,0,0.60,No
61,0,0.00,No
47,3,0.48,No
56,0,0.53,No
33,0,0.51,Yes
64,2,0.04,No
65,0,0.37,No
37,2,0.05,No
44,0,0.00,No
71,0,0.01,No
26,1,0.22,No
59,1,0.37,No
36,0,0.01,No
66,0,0.29,Yes
46,3,0.48,No
35,1,0.27,Yes
39,3,0.14,No
45,4,0.37,No
24,0,0.13,No
32,0,0.39,No
55,0,0.19,No
59,0,0.01,No
30,0,0.40,No
30,0,0.26,Yes
44,1,0.29,No
60,0,0.64,No
51,2,0.81,Yes
78,0,0.62,Yes
48,2,0.12,No
39,3,0.22,No
39,0,0.50,No
70,0,0.48,No
45,1,0.11,No
63,0,0.44,Yes
38,1,0.28,No
42,0,0.04,No
70,0,0.06,No
50,1,0.70,Yes
56,0,0.02,No
33,0,0.06,Yes
88,0,0.00,No
81,0,0.31,No
60,0,0.55,No
53,0,0.21,No
73,0,0.29,No
46,2,0.65,No
35,2,0.04,No
59,1,0.42,No
76,0,0.30,No
54,1,0.56,No
62,0,0.32,No
26,0,0.01,No
64,3,0.39,No
39,3,0.64,No
51,3,0.53,No
34,0,0.52,No
55,0,0.71,No
24,0,0.24,No
30,0,0.59,No
67,0,0.19,Yes
43,0,0.05,Yes
60,0,0.50,Yes
52,2,0.48,No
75,1,0.00,No
59,0,0.16,Yes
56,4,0.01,No
72,0,0.34,No
26,0,0.00,No
59,0,0.53,No
59,0,0.03,No
36,1,0.79,No
55,1,0.37,No
43,3,0.41,Yes
39,3,0.31,No
62,0,0.03,No
32,0,0.43,No
39,4,0.34,Yes
32,4,0.71,No
49,1,0.27,No
41,0,0.31,No
62,0,0.62,Yes
49,1,0.04,No
56,0,0.23,No
71,0,0.36,No
65,1,0.15,No
53,1,0.13,No
83,0,0.03,No
70,0,0.61,No
31,0,0.09,Yes
58,0,0.44,Yes
36,0,0.08,No
41,1,0.64,Yes
64,0,0.17,No
42,2,0.22,No
44,1,0.11,No
67,1,0.87,Yes
46,1,0.29,No
43,0,0.42,No
56,2,0.38,Yes
69,0,0.02,No
72,0,0.01,No
85,0,0.03,No
57,0,0.36,No
49,1,0.42,No
37,1,0.20,No
68,0,0.23,Yes
40,0,0.30,No
41,2,0.50,Yes
32,0,0.40,No
52,4,0.18,No
23,0,0.00,No
51,0,0.11,Yes
32,1,0.48,Yes
60,1,0.36,No
35,0,0.10,Yes
49,1,0.47,No
48,0,0.47,Yes
77,0,0.41,No
52,0,0.02,No
43,1,0.37,Yes
31,0,0.01,No
36,2,0.26,No
61,0,0.49,Yes
58,0,0.26,No
50,2,0.06,Yes
45,3,0.55,No
47,1,0.08,No
31,0,0.26,No
31,0,0.35,Yes
61,0,0.00,No
30,0,0.18,Yes
42,2,0.69,No
45,2,0.48,Yes
27,0,0.91,No
37,3,0.88,No
59,0,0.03,No
75,1,0.13,Yes
66,1,0.44,No
26,0,0.00,No
41,2,0.03,No
39,3,0.33,No
55,1,0.48,Yes
44,0,0.01,No
48,2,0.40,No
22,0,0.32,No
44,0,0.37,No
71,0,0.18,No
28,0,0.68,No
51,0,0.36,No
63,0,0.10,No
73,0,0.04,No
41,3,0.38,No
64,1,0.69,No
34,0,0.35,No
57,0,0.60,No
69,1,0.02,No
35,2,0.49,No
29,0,0.02,Yes
47,3,0.26,No
42,1,0.00,No
82,0,0.00,No
53,0,0.65,Yes
53,0,0.65,No
47,3,0.07,No
44,2,0.68,No
47,2,0.32,No
64,0,0.05,No
78,0,0.09,No
67,1,0.26,No
32,3,0.00,No
27,2,0.15,No
75,0,0.53,No
35,0,0.43,No
51,0,0.18,Yes
42,1,0.34,No
64,0,0.58,No
60,0,0.59,No
31,0,0.04,No
64,0,0.44,No
64,0,0.01,No
36,1,0.38,No
74,0,0.02,No
39,1,0.35,No
47,0,0.60,No
45,0,0.00,No
78,0,0.01,Yes
48,0,0.96,No
47,1,0.43,Yes
33,1,0.39,No
74,0,0.27,No
70,0,0.30,No
50,3,0.28,Yes
68,1,0.37,No
70,0,0.45,No
55,1,0.49,Yes
52,3,0.32,No
54,1,0.00,No
56,1,0.29,Yes
44,1,0.66,Yes
46,0,0.37,No
42,3,0.25,No
52,1,0.39,No
53,0,0.19,No
66,0,0.26,No
51,2,0.53,No
40,1,0.49,Yes
35,0,0.39,No
38,3,0.24,No
77,0,0.03,No
63,1,0.12,Yes
44,0,0.15,No
79,0,0.66,No
58,1,0.50,No
55,1,0.57,No
62,0,0.01,No
84,0,0.00,No
29,2,0.46,No
47,3,0.31,No
41,1,0.42,No
39,0,0.06,No
52,0,0.00,No
44,0,0.42,No
64,1,0.08,No
29,0,0.05,No
35,0,0.43,No
57,0,0.54,No
42,2,0.43,No
46,0,0.01,No
44,1,0.13,No
38,0,0.34,No
31,1,0.04,No
46,0,0.29,Yes
54,0,0.65,No
59,1,0.48,No
57,1,0.32,No
41,2,0.25,No
37,1,0.29,No
43,3,0.25,Yes
59,0,0.23,No
40,0,0.21,No
44,0,0.41,No
37,0,0.25,No
54,1,0.29,No
54,1,0.14,No
37,3,0.34,No
47,5,0.64,Yes
77,1,0.04,No
55,2,0.35,No
43,2,0.44,No
67,0,0.16,No
46,1,0.03,Yes
46,0,0.64,No
47,0,0.79,No
60,0,0.19,Yes
37,1,0.30,No
47,2,0.18,No
49,0,0.72,No
49,1,0.63,No
56,0,0.66,No
56,1,0.66,Yes
59,0,0.32,No
64,0,0.24,No
77,0,0.07,No
24,0,0.73,No
51,0,0.26,No
26,4,0.06,No
50,0,0.21,Yes
34,1,0.25,No
41,0,0.28,No
75,0,0.00,No
58,0,0.15,Yes
52,0,0.44,No
81,0,0.32,No
81,0,0.01,No
65,0,0.68,No
67,0,0.43,No
43,0,0.31,No
41,2,0.21,No
75,0,0.15,No
41,2,0.03,Yes
32,2,0.64,Yes
54,1,0.11,No
38,4,0.43,No
68,0,0.01,No
78,0,0.75,No
48,1,0.33,No
66,1,0.25,No
41,1,0.92,No
72,1,0.18,No
77,0,0.47,No
68,1,0.40,No
43,0,0.40,No
69,0,0.39,No
42,1,0.88,Yes
52,1,0.80,No
53,0,0.33,Yes
61,1,0.20,No
37,1,0.17,No
53,1,0.14,No
48,2,0.30,Yes
58,1,0.09,No
75,0,0.24,No
30,0,0.86,No
78,0,0.00,No
66,0,0.24,No
24,0,0.13,No
86,0,0.00,No
53,0,0.54,Yes
34,2,0.47,No
24,1,0.00,No
58,1,0.13,No
58,1,0.00,No
61,0,0.32,No
51,2,0.33,No
72,2,0.11,No
31,1,0.32,No
41,0,0.29,No
58,1,0.00,No
32,1,0.10,No
57,3,0.71,No
45,2,0.07,No
33,0,0.30,No
68,0,0.10,No
97,0,0.00,No
54,1,0.04,No
46,2,0.26,No
44,0,0.26,No
39,3,0.51,No
54,0,0.15,Yes
57,1,0.58,No
39,3,0.15,No
53,1,0.93,No
45,2,0.47,No
41,3,0.26,No
69,0,0.40,No
48,0,0.13,No
66,1,0.62,No
27,0,0.23,Yes
61,0,0.00,No
43,3,0.62,No
37,1,0.07,No
42,0,0.11,No
39,1,0.72,No
84,0,0.45,No
58,1,0.21,No
79,1,0.23,No
79,0,0.11,No
43,0,0.30,No
40,0,0.18,No
32,2,0.48,No
71,0,0.36,No
56,2,0.26,No
46,0,0.18,No
44,0,0.40,No
66,1,0.26,No
54,2,0.24,Yes
48,4,0.20,Yes
24,0,0.64,No
44,2,0.38,No
53,1,0.55,No
50,0,0.18,No
30,0,0.18,No
64,1,0.48,Yes
69,1,0.41,No
53,3,0.53,No
59,0,0.23,Yes
45,3,0.88,No
73,1,0.50,No
48,0,0.07,No
56,1,0.45,No
48,3,0.20,No
61,0,0.75,No
63,0,0.01,No
34,0,0.28,No
32,4,0.40,No
67,0,0.00,No
62,1,0.14,No
36,0,0.28,Yes
28,0,0.06,No
47,0,0.42,No
54,0,0.54,Yes
64,0,0.01,No
57,0,0.32,No
79,1,0.00,No
